"","reference","decimalLatitude","decimalLongitude","eventDate","bud","flower","fruit","seed_disperse","veg_only","dataset","month","day","year","jdate"
"111","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329551",40.122711,-74.486357,1938-05-08,"NA","Y","NA","NA","NA","Online Herbarium",5,8,1938,128
"112","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=28203217",40.123611,-79.270833,1995-05-12,"Y","Y","NA","NA","NA","Online Herbarium",5,12,1995,132
"113","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12527121",40.124532,-77.666379,1968-06-29,"NA","NA","Y","Y","NA","Online Herbarium",6,29,1968,181
"114","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326091",40.136598,-76.488795,1958-06-02,"NA","NA","NA","NA","Y","Online Herbarium",6,2,1958,153
"115","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968933",40.141279,-79.200619,1924-06-15,"Y","Y","NA","NA","NA","Online Herbarium",6,15,1924,167
"116","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757269",40.14481,-75.6187,1938-05-08,"Y","Y","NA","NA","NA","Online Herbarium",5,8,1938,128
"117","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757290",40.148412,-78.726686,1991-08-30,"NA","NA","NA","NA","Y","Online Herbarium",8,30,1991,242
"118","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329545",40.158139,-74.337444,1938-05-22,"Y","Y","NA","NA","NA","Online Herbarium",5,22,1938,142
"119","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329690",40.158893,-79.231801,1925-04-26,"Y","Y","NA","NA","NA","Online Herbarium",4,26,1925,116
"120","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326020",40.158893,-79.231801,1925-04-26,"Y","Y","NA","NA","NA","Online Herbarium",4,26,1925,116
"121","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329684",40.159858,-79.104346,1938-08-23,"NA","NA","NA","NA","Y","Online Herbarium",8,23,1938,235
"122","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329691",40.17,-74.29,2002-09-24,"NA","NA","NA","NA","Y","Online Herbarium",9,24,2002,267
"123","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329552",40.178297,-74.434612,1935-05-05,"Y","Y","NA","NA","NA","Online Herbarium",5,5,1935,125
"124","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968832",40.178544,-79.129182,1916-06-09,"NA","NA","NA","Y","NA","Online Herbarium",6,9,1916,161
"125","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329546",40.180161,-74.416817,1938-05-15,"NA","Y","Y","NA","NA","Online Herbarium",5,15,1938,135
"126","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329558",40.180161,-74.416817,1938-05-15,"NA","NA","Y","NA","NA","Online Herbarium",5,15,1938,135
"127","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329611",40.1804,-74.414414,1938-05-07,"NA","Y","Y","NA","NA","Online Herbarium",5,7,1938,127
"128","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968830",40.18182,-78.47931,1962-08-12,"NA","NA","NA","Y","NA","Online Herbarium",8,12,1962,224
"129","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968937",40.182873,-78.831164,1953-06-13,"NA","NA","Y","NA","NA","Online Herbarium",6,13,1953,164
"130","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757301",40.189264,-75.722975,1927-05-07,"Y","Y","NA","NA","NA","Online Herbarium",5,7,1927,127
"131","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329610",40.1952,-74.3466,2004-05-04,"Y","Y","NA","NA","NA","Online Herbarium",5,4,2004,125
"132","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968947",40.19782,-78.57626,1939-07-04,"NA","NA","Y","Y","NA","Online Herbarium",7,4,1939,185
"133","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329730",40.198734,-78.698043,1964-08-13,"NA","NA","Y","Y","NA","Online Herbarium",8,13,1964,226
"134","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329547",40.209075,-74.284591,1938-05-22,"NA","NA","Y","NA","NA","Online Herbarium",5,22,1938,142
"135","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329612",40.21343,-74.195185,1910-07-05,"NA","NA","NA","Y","NA","Online Herbarium",7,5,1910,186
"136","https://midwestherbaria.org/portal/collections/individual/index.php?occid=29854086",40.217566,-87.336754,2022-05-26,"NA","NA","NA","NA","Y","Online Herbarium",5,26,2022,146
"137","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968862",40.22073,-78.048621,1952-05-13,"NA","Y","NA","NA","NA","Online Herbarium",5,13,1952,134
"138","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326055",40.231137,-75.855572,1937-07-08,"NA","NA","Y","Y","NA","Online Herbarium",7,8,1937,189
"139","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326054",40.240901,-75.828664,1935-05-04,"Y","NA","NA","NA","NA","Online Herbarium",5,4,1935,124
"140","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=12757300",40.245254,-75.823465,1935-05-04,"Y","Y","NA","NA","NA","Online Herbarium",5,4,1935,124
"141","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17000120",40.24642,-76.27561,1958-06-17,"NA","NA","Y","NA","NA","Online Herbarium",6,17,1958,168
"142","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326089",40.248981,-76.332657,1940-06-15,"NA","NA","Y","NA","NA","Online Herbarium",6,15,1940,167
"143","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=11968866",40.257826,-79.080951,1930-05-25,"NA","Y","NA","NA","NA","Online Herbarium",5,25,1930,145
"144","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326092",40.291854,-76.205276,1935-05-04,"Y","NA","NA","NA","NA","Online Herbarium",5,4,1935,124
"145","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=24858911",40.295387,-79.030223,1955-08-27,"Y","Y","NA","NA","NA","Online Herbarium",8,27,1955,239
"146","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18329734",40.298422,-78.644901,1964-08-04,"NA","NA","Y","Y","NA","Online Herbarium",8,4,1964,217
"147","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326059",40.316204,-75.899579,1947-07-19,"NA","NA","NA","Y","NA","Online Herbarium",7,19,1947,200
"148","https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=18326058",40.320857,-75.911916,1934-05-04,"Y","Y","NA","NA","NA","Online Herbarium",5,4,1934,124
